malnişîn,n,emekli,Eş Anlam
malper,n,i̇nternet sitesi,
mamoste,n,öğretmen,
mase,n,masa,
mast,n,yoğurt,
masî,n,balık,
masîgir,n,balıkçı,
me,pron,bizi,
me,pron,bizim,
meh,n,ay,
meqes,n,makas,
meqesok,n,kırlangıç,
merbêr,n,kürek,
mergaset,n,trajedi,
metro,n,metro,
meyzandin,v,"bakmak",
mezin,sıfat,büyük,
mezrek,n,tesis,
miftedank,n,anahtarlık,Eş Anlam
mij,n,sis,
mijang,n,kirpik,
mijar,n,konu,
mijdar,n,kasım,
mil,n,omuz,
min,pron,"beni,benim",
mirin,v,"ölmek",
mirin,v,ölmek,
mirîşk,n,tavuk,
mizgeft,n,cami,
mişar,n,testere,
morîk,n,boncuk,
moşek,n,roket,
muxtar,n,muhtar,
muzîkjen,n,müzisyen,
mêr,n,adam,<b>Hevoka Mînak - Örnek Cümle</b><br>Mêrên baş zehf kêm in. <br> İyi adamlar çok azdır. (Mêr)
mêrxas,adj,cesur,
mêvan,n,misafir,
mêxik,n,karanfil,
mîx,n,çivi,
mû,n,kıl,
mûz,n,muz,
mûze,n,müze,
mûçîng,n,pense,
na,exp,hayır,
name,n,mektup,
namzed,n,aday,
nan,n,ekmek,
nanpêj,n,fırıncı,
nasîn,v,"tanımak",
nasîn,v,tanımak,
nav,n,iç,
navber,n,ara,
navberî,n,aracılık,
navenda bajêr,söz öbeği,şehir merkezi,
navgîn,n,araç,ek anlam
naviş kirin,v,imzalamak,
navlêk,n,terim,
navçe,n,ilçe,
navê min ... e,exp,benim adım ...'dır,
navê te çi ye?,exp,adın ne?,
navîn,n,ortalama,
nayê vexwarin,v cümlesi (olumsuz),içilmez,
nebas,sıfat,çirkin,
nebin,v,olmamak,
nefel,n,yonca,
nefret kirin,v,nefret etmek,
neh,n,sekiz,
nekevinê,v,girilmez,
nerazî,sıfat,memnun değil,
nerm,n,yumuşak,
nerm,sıfat,yumuşak,
nevî,n,torun,
nexweşhane,n,hastane,
nezan,adj,cahil,
neçar,sıfat,çaresiz,
niha,adv,şimdi,
nirxan,n,değerlendirme,
nirxandin,v,değerlendirmek,
niviskar,n,yazar,
nivistin,v,"uyumak,yatmak",
nivîs,n,yazı,
nivîsbarî,n,yazılım,
nivîskar,n,yazar,
nivîsvan,n,sekreter,
nivîsîn,v,yazmak,
nizm,sıfat,"alçak, yakın",
nişane,n,madalya,
nok,n,nohut,
noter,n,noter,
nêrgîz,n,nergiz,
nêrîn,v,"bakmak",
nêrîn,v,bakmak,
nîgar,n,tablo,
nîgaş,n,hayal,
nîsan,n,nisan,
nîskok,n,odak,
nîv,n,yarım,
nîvişk,n,tereyağı,
nîvro,n,öğlen vakti,
nîşan girtin,v,hedef almak,
nû,adj,yeni,
nû,sıfat,yeni,
nûçegihan,n,muhabir,
otopark,n,otopark,
otoxar,n,otogar,
pace,n,pencere,
palpişt,n,kanıt,
paqij,adj,temiz,
parastin,v,"savunmak",
parastin,v,korumak,
pars kirin,v,dilenmek,
parêzer,n,avukat,<b>Hevoka Mînak - Örnek Cümle</b><br>Tu dikarî ji min re parêzerekî bigirî?<br>Bana bir avukat tutabilir misin?
parêzgeh,n,bölge,
parêzgeh,n,il,
parêzgerî,n,valilik,
payiz,n,sonbahar,
payîdar,adj,kalıcı,
pazne,n,dolunay,
paş,edat,arka,
paşxistin,v,takip etmek,
paşî,zarf,sonra,
paşîv,n,sahur,
pejirandin,v,kabul etmek,
pel,n,yaprak,
pelt,n,pasif,
penîr,n,peynir,
pepûk,n,gugukkuşu,
pesqel,n,espiri,
